"hvfhs_license_num","dispatching_base_num","originating_base_num","request_datetime","on_scene_datetime","pickup_datetime","dropoff_datetime","PULocationID","DOLocationID","trip_miles","trip_time","base_passenger_fare","tolls","bcf","sales_tax","congestion_surcharge","airport_fee","tips","driver_pay","shared_request_flag","shared_match_flag","access_a_ride_flag","wav_request_flag","wav_match_flag"
"HV0003","B02764","B02764","2020-04-30 19:34:06","2020-04-30 19:40:12","2020-04-30 19:41:02","2020-04-30 20:08:04",142,69,8.85,1622,31.11,0,0.79,2.8,2.75,NA,0,23.34,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:06:47","2020-04-30 19:10:34","2020-04-30 19:13:27","2020-04-30 19:27:20",126,254,6.35,833,19.05,0,0.48,1.69,0,NA,0,13.97,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:27:19","2020-04-30 19:27:32","2020-04-30 19:29:50","2020-04-30 20:01:52",254,265,18.85,1922,55.1,6.12,1.53,5.43,0,NA,0,40.63,"N","N"," ","N","N"
"HV0003","B02875","B02875","2020-04-30 19:20:01","2020-04-30 19:24:15","2020-04-30 19:24:47","2020-04-30 19:56:04",170,265,19.35,1877,51.85,6.12,1.62,5.16,2.75,NA,6.75,38.92,"N","N"," ","N","N"
"HV0004","B02800",NA,"2020-04-30 19:31:26",NA,"2020-04-30 19:45:01","2020-04-30 19:54:28",140,4,4.49,567,16.95,0,0,1.2,2.75,NA,0,9.65,"N","N","N","N","N"
"HV0004","B02800",NA,"2020-04-30 19:51:50",NA,"2020-04-30 19:59:52","2020-04-30 20:15:28",224,74,5.55,936,20.95,0,0,1.49,2.75,NA,0,13.89,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:06:11",NA,"2020-04-30 19:11:38","2020-04-30 19:23:31",14,21,3.291,713,13.83,0,0.35,1.23,0,NA,0,9.62,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:18:40",NA,"2020-04-30 19:27:32","2020-04-30 19:39:03",21,55,3.127,691,12.37,0,0.31,1.1,0,NA,0,9.26,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:01:02",NA,"2020-04-30 19:05:32","2020-04-30 19:16:05",243,47,3.023,633,13.91,0,0.35,1.23,0,NA,0,8.65,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:18:03",NA,"2020-04-30 19:23:02","2020-04-30 19:31:53",167,213,2.01,531,7.91,0,0.2,0.7,0,NA,0,6.68,"N","N","N","N","N"
"HV0003","B02764","B02764","2020-04-30 19:33:17","2020-04-30 19:34:42","2020-04-30 19:36:43","2020-04-30 19:44:56",212,235,4.02,493,12.9,0,0.32,1.14,0,NA,0,8.56,"N","N"," ","N","N"
"HV0003","B02764","B02764","2020-04-30 19:49:42","2020-04-30 19:51:46","2020-04-30 19:54:22","2020-04-30 19:59:48",235,94,0.72,326,7.33,0,0.18,0.65,0,NA,0,5.39,"N","N"," ","N","N"
"HV0003","B02872","B02872","2020-04-30 18:59:41","2020-04-30 19:02:38","2020-04-30 19:04:14","2020-04-30 19:21:02",237,116,6.16,1008,20.21,0,0.51,1.79,2.75,NA,0,15.23,"N","N"," ","N","N"
"HV0003","B02872","B02872","2020-04-30 19:22:15","2020-04-30 19:25:18","2020-04-30 19:26:45","2020-04-30 19:32:41",116,74,1.35,356,7.33,0,0.18,0.65,0,NA,0,5.39,"N","N"," ","N","N"
"HV0004","B02800",NA,"2020-04-30 18:58:45",NA,"2020-04-30 19:05:19","2020-04-30 19:26:11",142,200,11.56,1252,34.95,0,0,2.48,2.75,NA,0,21.32,"N","N","N","N","N"
"HV0003","B02883","B02883","2020-04-30 19:03:50","2020-04-30 19:12:38","2020-04-30 19:13:20","2020-04-30 19:32:10",145,129,4.28,1130,17.38,0,0.43,1.54,0,NA,0,14.17,"N","N"," ","N","N"
"HV0005","B02510",NA,"2020-04-30 19:00:05",NA,"2020-04-30 19:07:18","2020-04-30 19:22:19",262,213,6.78,901,20.51,1.54,0.55,1.96,2.75,NA,0,15.07,"N","N","N","N","N"
"HV0003","B02765","B02765","2020-04-30 19:34:14","2020-04-30 19:37:09","2020-04-30 19:39:43","2020-04-30 19:41:54",61,61,0.51,131,7.33,0,0.18,0.65,0,NA,0,5.39,"N","N"," ","N","N"
"HV0003","B02836","B02836","2020-04-30 18:52:43","2020-04-30 19:05:29","2020-04-30 19:06:11","2020-04-30 19:19:25",126,31,3.21,794,14.09,0,0.35,1.25,0,NA,0,10.18,"N","N"," ","N","N"
"HV0005","B02510",NA,"2020-04-30 18:58:54",NA,"2020-04-30 19:04:41","2020-04-30 19:12:21",139,265,1.684,460,8.13,0,0.2,0.72,0,NA,0,5.99,"N","N","N","N","N"
"HV0005","B02510",NA,"2020-04-30 19:47:13",NA,"2020-04-30 19:53:37","2020-04-30 20:09:05",197,63,3.21,928,15.15,0,0.38,1.34,0,NA,0,11.33,"N","N","N","N","N"
